STATE,TOT_EMP
Alabama,1912220
Alaska,303890
Arizona,2574150
Arkansas,1166840
California,15065750
Colorado,2207120
Connecticut,1658980
Delaware,424270
District of Columbia,609400
Florida,7869210
Georgia,4001580
Hawaii,599130
Idaho,624320
Illinois,5826660
Indiana,2913200
Iowa,1470240
Kansas,1321180
Kentucky,1779830
Louisiana,1776990
Maine,596910
Maryland,2531180
Massachusetts,3170490
Michigan,4294260
Minnesota,2682940
Mississippi,1113000
Missouri,2700450
Montana,427130
Nebraska,901120
Nevada,1257860
New Hampshire,627570
New Jersey,3957500
New Mexico,789360
New York,8387750
North Carolina,3892670
North Dakota,335740
Ohio,5354170
Oklahoma,1503430
Oregon,1648680
Pennsylvania,5631520
Rhode Island,482550
South Carolina,1840190
South Dakota,381230
Tennessee,2718410
Texas,9760960
Utah,1151020
Vermont,299610
Virginia,3608430
Washington,2736910
West Virginia,710560
Wisconsin,2744210
Wyoming,262260
Guam,54670
Puerto Rico,1031650
Virgin Islands,44270
